Timestamp,Voltage (V),Current (A),Power (W),Energy Today (kWh)
2025-08-03 18:09:45,234.5,0.0,0.0,0.01
2025-08-03 18:09:45,234.5,0.0,0.0,0.01
2025-08-03 18:10:45,234.5,0.0,0.0,0.01
2025-08-03 18:10:45,234.5,0.0,0.0,0.01
2025-08-03 18:11:15,234.5,0.0,0.0,0.01
2025-08-03 18:11:20,234.5,0.0,0.0,0.01
2025-08-03 18:11:23,234.5,0.0,0.0,0.01
2025-08-03 18:11:26,234.5,0.0,0.0,0.01
2025-08-03 18:11:29,234.5,0.0,0.0,0.01
2025-08-03 18:11:32,234.5,0.0,0.0,0.01
2025-08-03 18:11:35,234.5,0.0,0.0,0.01
2025-08-03 18:11:38,234.5,0.0,0.0,0.01
2025-08-03 18:11:41,234.5,0.0,0.0,0.01
2025-08-03 18:11:44,234.5,0.0,0.0,0.01
2025-08-03 18:11:45,234.5,0.0,0.0,0.01
2025-08-03 18:11:47,234.5,0.0,0.0,0.01
2025-08-03 18:11:50,234.5,0.0,0.0,0.01
2025-08-03 18:11:53,234.5,0.0,0.0,0.01
2025-08-03 18:11:56,234.5,0.0,0.0,0.01
2025-08-03 18:11:59,234.5,0.0,0.0,0.01
2025-08-03 18:12:02,234.5,0.0,0.0,0.01
2025-08-03 18:12:05,234.5,0.0,0.0,0.01
2025-08-03 18:12:08,234.5,0.0,0.0,0.01
2025-08-03 18:12:12,234.5,0.0,0.0,0.01
2025-08-03 18:12:15,234.5,0.0,0.0,0.01
2025-08-03 18:12:18,234.5,0.0,0.0,0.01
2025-08-03 18:12:21,234.5,0.0,0.0,0.01
2025-08-03 18:12:24,234.5,0.0,0.0,0.01
2025-08-03 18:12:27,234.5,0.0,0.0,0.01
2025-08-03 18:12:30,234.5,0.0,0.0,0.01
2025-08-03 18:12:33,234.5,0.0,0.0,0.01
2025-08-03 18:12:36,234.5,0.0,0.0,0.01
2025-08-03 18:12:40,234.5,0.0,0.0,0.01
2025-08-03 18:12:42,234.5,0.0,0.0,0.01
2025-08-03 18:12:45,234.5,0.0,0.0,0.01
2025-08-03 18:12:45,234.5,0.0,0.0,0.01
2025-08-03 18:12:48,234.5,0.0,0.0,0.01
2025-08-03 18:12:51,234.5,0.0,0.0,0.01
2025-08-03 18:12:54,237.2,0.0,0.0,0.01
2025-08-03 18:12:57,237.2,0.0,0.0,0.01
2025-08-03 18:13:00,237.2,0.0,0.0,0.01
2025-08-03 18:13:03,237.2,0.0,0.0,0.01
2025-08-03 18:13:06,237.2,0.0,0.0,0.01
2025-08-03 18:13:09,237.2,0.0,0.0,0.01
2025-08-03 18:13:12,237.2,0.0,0.0,0.01
2025-08-03 18:13:15,237.2,0.0,0.0,0.01
2025-08-03 18:13:18,237.2,0.0,0.0,0.01
2025-08-03 18:13:21,237.2,0.0,0.0,0.01
2025-08-03 18:13:24,236.7,0.0,0.0,0.01
2025-08-03 18:13:27,236.7,0.0,0.0,0.01
2025-08-03 18:13:30,236.7,0.0,0.0,0.01
2025-08-03 18:13:54,236.7,0.0,0.0,0.01
2025-08-03 18:13:54,236.7,0.0,0.0,0.01
2025-08-03 18:13:54,236.7,0.0,0.0,0.01
2025-08-03 18:13:54,236.7,0.0,0.0,0.01
2025-08-03 18:13:54,236.7,0.0,0.0,0.01
2025-08-03 18:13:54,236.7,0.0,0.0,0.01
2025-08-03 18:13:54,236.7,0.0,0.0,0.01
2025-08-03 18:13:55,236.7,0.0,0.0,0.01
2025-08-03 18:13:55,236.7,0.0,0.0,0.01
2025-08-03 18:13:57,236.7,0.0,0.0,0.01
2025-08-03 18:14:02,236.7,0.0,0.0,0.01
2025-08-03 18:14:03,236.7,0.0,0.0,0.01
2025-08-03 18:14:06,236.7,0.0,0.0,0.01
2025-08-03 18:14:09,236.7,0.0,0.0,0.01
2025-08-03 18:14:12,236.7,0.0,0.0,0.01
